,Date,tweet
6927,2018-11-08,connie a retired school psychologist had plans to travel the world until she was diagnosed with als now she is participating in s study in hopes of finding a cure 
6928,2018-11-07,last year we donated billion in software and services to help nonprofits access essential technology and skills microsoftbythenumbers your face is your new password facial recognition is one example of how ai is revolutionizing security across industries across industries companies are adopting ai solutions to extract new value and boost the bottom line learn more via microsoft president spoke at websummit today about the importance of digital peace in the age of cyberwarfare sign the petition to demand digital peace now there is no peace without digital peace reminded websummit attendees today sign the petition to stop cyberwarfare and demand digital peace now our president is live on centre stage at websummit sharing how digital citizens can protect themselves against cyberwarfare tune in now starting in minutes microsoft president will take the stage at websummit in lisbon to talk about digital peace in the age of cyber threats tune in live on youtube 
6935,2018-11-06,let ai look into your eyes this machine quickly diagnoses your susceptibility to a long list of diseases our siliconvalley campus is net zero water certified that means of non drinking water comes from rainfall and on site recycling microsoftbythenumbers your face is your new password facial recognition is one example of how ai is revolutionizing security across industries from donor relations to mobilizing volunteers nonprofits are embracing digital transformation to increase their impact 
6939,2018-11-05,we re working with to transform their business and build the future of retail full of convenient ways to shop your face is your new password facial recognition is one example of how ai is revolutionizing security across industries let ai look into your eyes this machine quickly diagnoses your susceptibility to a long list of diseases 
6942,2018-11-04,we joined several companies in the pacific northwest to light our buildings blue in tribute to he was our co founder a philanthropist a big thinker and a civic leader the region is filled with reminders of his legacy thankspaul 
6943,2018-11-02,your face is your new password facial recognition is one example of how ai is revolutionizing security across industries explores how we harness the power of digital data with ai phones down brushes up during disaster relief another minute could mean another life lost this opensource project identifies tracks and analyzes objects from the air 
6947,2018-11-01,let ai look into your eyes this machine quickly diagnoses your susceptibility to a long list of diseases with a sound level of db our audio lab holds the for the world is quietest place microsoftbythenumbers 
6949,2018-10-31,unveiling the azure cloud collaboration center take a look inside our state of the art workspace is a window to the cloud 
6951,2018-10-30, our evp of business development rang is closing bell today marking how our partnership using blockchain makes business easier and more secure skypeathon gives students the opportunity to understand the complexities of the world with virtual travel learn more at one point sales were dictated by how fast a salesperson could drive a motorcycle between locations learn how is digitizing every aspect of its year old business adding up the stories that make us who we are take a look inside microsoftbythenumbers
6955,2018-10-29,roofless buildings leafless trees and a lifeless power grid working through logistical challenges thousands were able to receive aid through the cloud at one point sales were dictated by how fast a salesperson could drive a motorcycle between locations learn how is digitizing every aspect of the year old business 
6957,2018-10-26,global influencer thinks of ai as the engine and data as the fuel learn how tech is driving the financial industry is transformation is brewing up techniques built with ai and machine learning to gain insights for high quality beer production it s official is now a part of the microsoft family of companies new github ceo shares his plans for a github that s open developer first and better than ever 
6960,2018-10-25, is hololinc uses mixed reality to measure and configure custom stairlifts read how 
6961,2018-10-24, selected azure for its marketsite streaming services and plans to expand its iconic led illuminated times square experience to international audiences partnered with microsoft to create lumovision a cloud enabled sorting machine that uses ultraviolet light to identify harmful toxins in harvested grains the world s largest commercial real estate services firm is using iot enabled sensors to help clients use space more efficiently while improving tenant experiences global energy giant is investing in azure iot and ai to maximize equipment productivity and better protect customers and service champions our cloud and ai tech power digital transformation across industries including financial services energy and agriculture evp shares how full earnings release business highlights more personal computing windows oem pro revenue windows commercial products and cloud services revenue gaming revenue surface revenue search advertising revenue business highlights intelligent cloud server products and cloud services revenue azure revenue growth enterprise services revenue business highlights productivity amp business processes office commercial revenue office consumer revenue linkedin revenue dynamics revenue q fy revenue by segment productivity amp business processes billion intelligent cloud billion more personal computing billion commercial cloud continues to grow and lift results q revenue billion msft record q earnings revenue billion operating income billion net income billion eps 
6973,2018-10-23,every child deserves to reach their potential that is why we are expanding access to our learning tools as part of the madebydyslexia pledge 
6974,2018-10-22, is on a mission to spread happiness with their cheerful pairs the multi million dollar business is a showcase for disability inclusion ndeam we are focused on the future of finserv industry with data and ai at the center of its transformation 
6976,2018-10-19,we are proud to be the first corporation to sign is madebydyslexia pledge 
6977,2018-10-18, if you like macbooks you should take a look at the surface laptop check out for why you should make the switch started as a backyard operation now builds climate resilient and highly productive food systems around the world 
6979,2018-10-17, reports that of enterprises will be using ai by cvp mitra azizirad shared our vision for ai s potential we re committed to empowering people strengthening communities and protecting our planet read our corporate social responsibility report to see how we are putting our resources to work 
6981,2018-10-16,it is a symphony of technology between windows office ai and the all new surfacepro and surfacelaptop jaron lanier nominated our principal researcher as a next generation trailblazer for read why wired 
6983,2018-10-15,thank you paul statement from microsoft ceo satya nadella on the passing of paul allen pop culture is everywhere spots trends and brings bobbleheads to market faster with help from our cloud tools teaming up with spektacom to create the powerbat was also a passion project for our ceo via 
6987,2018-10-12,our inclusive approach not only benefits employees but customers too learn more about our efforts to foster a diverse culture via an xbox in your pocket made possible by projectxcloud via it is a bobblehead boom for see how cloud technology helps get toys on shelves faster 
6990,2018-10-11, creating a more diverse and inclusive culture requires us to get comfortable being uncomfortable read about our chief diversity officer s refreshing approach to inclusivity cmo shares career advice picked up through years at microsoft ai is revolutionizing the game of cricket we teamed up with to launch the powerbat via 
6993,2018-10-10,data is the key to boosting impact performance and viability see how nonprofits unlock value with digital transformation is beer fingerprinting project is bringing more science to the craft of beer 
6995,2018-10-09, ai can be used to transform everyday life for people with disabilities watch ceo explore seeing ai the app that narrates the world around you we re giving companies a more holistic view of their data with the open data initiative see how 
6997,2018-10-08,introducing state of the art global streaming technology so you can play on any device you want projectxcloud pop culture is everywhere spots trends and brings bobbleheads to market faster with help from our cloud tools playing your favorite game on your favorite device is the future of gaming projectxcloud brings us one step closer to making that a reality 
7000,2018-10-05,our new quantum materials lab at will create the heart of the computer the so called qubit learn more we caught up with to hear about his work on the cloud the next big thing in tech and his advice for aspiring entrepreneurs 
7002,2018-10-04,our cfo amy hood is busting stereotypes read how fortunempw customer experiences are being reimagined with the open data initiative microsoft ranked th in s best global brands report and in value bgb is transforming food and farming practices with ai 
7006,2018-10-03,see what has to say about our latest lineup 
7008,2018-10-02, on today is microsoftevent gm of mobile amp merchandising experiences demonstrated how integral ai is to making our experiences flow across apps devices at today is microsoftevent watch all the highlights from today is microsoftevent up next takes the stage at microsoftevent nothing is more valuable than making the most of your time microsoftevent the power of ai will help you work together and unlock your creativity in new ways microsoftevent our enterprise class services secure your data and identity to help you achieve peace of mind microsoftevent we are taking what we know about productivity at work to help you organize your whole life microsoftevent by bridging ios and android with windows we are helping you move seamlessly across devices microsoftevent surface is the device that is designed to fade into the background so you can focus on what matters microsoftevent we envision a new era of personal productivity to help you make the most of your time microsoftevent our mission must encompass empowering people across their whole life not just how they work but also how they live learn and play microsoftevent the absolute preciousness of time is why we are here today cvp of modern life devices kicks off microsoftevent the microsoftevent is starting now follow along to hear the biggest news of the day starting soon we are excited to share a bunch of announcements follow along with microsoftevent 
7023,2018-10-01,just type a question and get an answer meet is ai solution that is simplifying health care on this episode of is behindthetech hear the surprising thing that serial entrepreneur judy estrin attributes her success to 
7025,2018-09-29,we are all digital citizens join us in the fight to stopcyberwarfare and demand digital peace 
7026,2018-09-28, azuresphere is here ceo is joined by principal engineer to show how developers can get started hey bmw i am cold explains how is intelligent personal assistant gets to know you is working to bring new medicines to market faster see how they are leveraging our technology to improve speed and productivity global participants projects winning team meet the winners of the world s largest private hackathon starting in more than million new vehicles per year will be fully connected on our cloud learn more about the partnership 
7031,2018-09-27,guests at have access to a new seamless experience so the fun starts before vacation and continues after 
7032,2018-09-26,we can not prevent you from accidentally sharing a cat video but we can transform the virtual meeting experience explains msignite managing home energy should be a smart secure experience see how uses azuresphere to create trustworthy solutions msignite japan s citizens accept that natural disasters are a reality now they re looking to understand how ai technology can help mitigate the damage 
7035,2018-09-25,announced at msignite and microsoft announced the open data initiative which will enable data to be exchanged and enriched to better serve customers is leveraging cloud and blockchain technologies to reduce of food waste and energy use by msignite
7037,2018-09-24,cfo amy hood has transformed microsoft is approach to building revenue and establishing a legacy recognizes her important influence on business transformation recap day highlights from msignite recap four highlights from msignite our conference for technologists and business leaders so many msignite sessions so little time is using ai to transform all dimensions of its energy business from oil field to gas pump at msignite our ceo highlighted customers embracing tech intensity to thrive in the digital economy via today at msignite we launched the open data initiative with and together we will help companies connect their data and deliver better customer experiences thanks here is the link to the website thanks for letting us know here is the website video ai for humanitarian action is our new initiative that will increase access to ai tools for humanitarian response human rights and child welfare msignite thanks for joining us for our keynote coverage at msignite for a full recap of the day is news we are helping organizations use ai to solve the world is toughest problems ai for earth ai for accessibility ai for humanitarian action msignite trust and security in action we spotted a cyber attack on small businesses in johnson city tennessee in milliseconds msignite trust and security in action we launched accountguard to protect political campaigns and organizations msignite we see trillion security signals in our operations center every day msignite trust and security underlies all of our work with our customers our approach to fighting cybersecurity challenges focuses on three areas running security operations building enterprise class tech driving partnerships msignite three underlying principles of the open data initiative customer ownership and control ai driven business outcomes open and extensible learn more at msignite data is often relegated to silos in order to give our customers a more holistic view we are partnering with and to launch the open data initiative msignite our customers are building tech intensity in every industry a few examples msignite our solution areas fuel customer success in this new era of the intelligent cloud and intelligent edge msignite tech intensity is a way to measure how well your organization is both riding the innovation wave and building your competitive advantage msignite the world is becoming a computer every part of our daily life and work and every aspect of our society and our economy is being transformed by digital technology msignite msignite brings together business leaders it professionals developers over people and companies in all msignite starts now starting now microsoft ceo takes the stage at msignite watch the livestream web youtube mixer starting soon microsoft ceo will kick off msignite tune in here msignite our annual gathering of business leaders it professionals and developers kicks off today at am et with a keynote from microsoft ceo livestream 
7064,2018-09-23, we will save you a good seat msignite begins tomorrow at am pt am et like if you will be joining us in orlando florida retweet if you will be tuning into the livestream 
7066,2018-09-21,observant curious thoughtful elegant fickle shares five habits of innovative thinkers we are kicking off msignite this monday at am pt am et with a keynote from ceo join us 
7068,2018-09-20,alexa call jeff on skype is using ai and real time data to maximize equipment efficiency and empower its global workforce 
7070,2018-09-19, is adopting mixed reality and putting it in the hands of firstline workers see how via students at are using ai and mixed reality to bridge the gap between fashion and technology here is how 
7072,2018-09-18, is improving their performance and speed of global collaboration by leveraging mixedreality applications for firstline workers via here s your chance to own a custom autographed xbox console and support of the bids will go to creating life changing wishes for children with critical illnesses consolesforkids our ceo knows a bright future includes everyone that s why he nominated to the wired cc 
7075,2018-09-17,from global participants and projects the microsoft hackathon winner has emerged learn more about the team who presented their idea to microsoft is ceo 
7076,2018-09-13, million leds stories of multimedia screens nyc landmark to better deliver its iconic billboard experience to international audiences is moving its livestreaming services to our cloud 
7077,2018-09-12,congratulations to our office ai for earth and windows mixed reality teams that received honorable mentions in the fcdesignawards via women of color make up of the population but earn just of computing degrees we are committing each year for three years to help change that rebootrepresentation
7079,2018-09-10, seeingai is helping people around the world gain new insights into their surroundings thank you for naming our app as a winner in the fcdesignawards 
7080,2018-09-07,picture perfect it took more than cameras at our volumetric capture stage to bring is hologram to life wee hyong tok uses data to make a difference here is how his team leverages ai to solve complex sustainability challenges aiforearth the is using our mixedreality capture studios to bring ashley graham is runway walk into reality with no filters to her form 
7083,2018-09-06,icymi announced their new personal assistant powered by microsoft is cloud and ai at tcdisrupt today deep within a fuel refinery one key machine is now revealing secrets about its own health here is how uses iot tech for real time maintenance 
7085,2018-09-05,we are celebrating the one year anniversary of the wibt podcast with a live interview featuring founder of pandomedia listen america s largest supermarket chain aims to cut its electricity consumption by with iot here is how 
7087,2018-09-04, there is always opportunities to do better microsoft evp explores the growth mindset of our cloud and enterprise group and its leader take a giant leap forward from today s technology your path to powerful scalable quantumcomputing starts here 
7089,2018-08-31,it is a powerful demonstration of how data can be used to make life itself more beautiful we are blurring the boundaries between art and tech with the next rembrandt project is hanna oh descher joins our ceo to share how easy it is to personalize games without changing any game code 
7091,2018-08-30,building is where the cool stuff happens where we bridge the evolution of the senses with technology it is the result that matters microsoft ceo explores how empathy and empowerment led to a cultural transformation 
7093,2018-08-29, racks servers and petabytes of disk feet below the sea surface learn more about projectnatick and our underwater datacenters 
7094,2018-08-28,a collaboration between and our quantum team will improve patient care and the capabilities of mri machines here is how matthew bennett s name might not ring a bell but you ve definitely heard his work meet the sound designer behind some of tech s most recognizable tones 
7096,2018-08-27,just in time for back to school minecraft education edition is coming to apple s ipad to help students learn about stem via farmbeats sensors and drones unearth important agricultural data planting new seeds of discovery for precision farming 
7098,2018-08-24,our own is a voice for the customer in a bigger gaming world he spoke with on the future of xbox and gaming hollywood get ready for holograms goes backstage with metastage a new studio for volumetric video capture for mixedreality experiences 
7100,2018-08-23, you join here not to be cool but to make others cool satya nadella microsoft ceo explains how this sentence may seem simple at first but how there is a lot to unpack 
7101,2018-08-22,our annual three day hackathon encourages employees to think creatively and explore their passion projects shares what that looks like from the inside new approaches to learning from mixedreality to hands on lessons provide students with immersive experiences that spark curiosity and creativity 
7103,2018-08-21,game on insidexbox is at gamescom sharing what is next for xbox icymi cyberthreats continue to harm democracy we re introducing microsoft accountguard to help protect political campaigns from nation state cyberattacks learn more 
7105,2018-08-20,over the next five years senior executives expect ai to have a positive impact on their organizations 
7107,2018-08-17,this is no ordinary cat video this one explains quantumcomputing in less than minutes watch meow we are working with pioneers in marine energy to develop self sufficient underwater datacenters as part of projectnatick together with we are celebrating those who make the world more inclusive see the full story tonight at pm pt weday
7110,2018-08-15, computers must have an ethical compass riseconf it is like facebook but for animal conservation here is how uses ai to save species from extinction 
7112,2018-08-14,immersive reader has completely transformed classrooms here is how a hackathon project became a tool that helps students fall in love with literature trend curator finds clues in data to discover how the world works here is how non obvious insights help him navigate the future 
7114,2018-08-13,in partnership with we have created a million aiforearth innovation grant program which aims to help those advancing conservation research 
7115,2018-08-10,scientists estimate two thirds of africa s elephant population has been lost to poaching now those working to save the species are using ai to help aid their efforts 
7116,2018-08-09,we are powering is tiny smart homes to learn about the secret lives of songbirds called purple martins norm judah cto of microsoft services explains the impact of ai across industries like manufacturing and its industrial robots we teamed up with to build tiny smart homes for the purple martins 
7119,2018-08-08,even snow leopards take selfies here is how wildlife biologist koustubh sharma is using ai to study this highly elusive species an interactive ai powered exhibit at the invites guests to challenge each other to see who can make the other crack a smile 
7121,2018-08-07,norm judah cto of microsoft services on why we partnered with to dig deeper into the business impact of ai 
7122,2018-08-06,at laugh battle an interactive exhibit at the our ai judges whether a joke gets a laugh 
7123,2018-08-02,via how minecraft is helping kids fall in love with classic tales 
7124,2018-08-01, of companies surveyed believe mixedreality will play an important role in helping them achieve their goals reports on mixed reality in the workplace 
7125,2018-07-31, shares how minecraft is helping kids fall in love with classic tales we partnered with to dig deeper into the business impact of ai in industries like manufacturing retail and healthcare read the results 
7127,2018-07-26,via how minecraft is helping kids fall in love with classic tales reports on the xbox adaptive controller is accessible packaging designed to let gamers of all abilities get started with confidence we re committed to investing in innovative women led startups that s why we re joining forces with vc partners in a m competition 
7130,2018-07-25,at last year is oneweek hackathon over people across cities and countries came together to forge new ideas on to the th and busiest year yet accessible controller accessible packaging here is how our designers worked directly with gamers on opening up the xbox adaptive controller the imaginecup livestream is also available on here the imaginecup world finals championship begins in minutes tune in to the livestream here 
7134,2018-07-24, shares how minecraft is helping kids fall in love with classic tales our cmo spoke at microsoft s ability summit to discuss lessons learned in our journey to inclusive and accessible marketing it starts with our mission the abilityhacks shares the stories of two hackathon teams who created inclusive technology that is now used by people around the world s alba col n is a trailblazing female hispanic engineer in nascar learn how tech is helping her team edge out the competition 
7138,2018-07-23,how our cfo amy hood helped bring employees customers and investors back to microsoft via 
7139,2018-07-20,a diverse inclusive workforce helps us create better products our chief accessibility officer reflects ahead of the th anniversary of the americanswithdisabilitiesact 
7140,2018-07-19,a leading service provider for the energy industry is maximizing productivity and minimizing downtime for its team worldwide with dynamics a consumer packaged goods giant underwent a digitaltransformation that aims to optimize its supply chain and empower its employees one of the world s largest retailers selected microsoft as its strategic cloud partner to empower its associates and improve the shopping experience for its customers an innovator in food preservation and preparation is using azuresphere as a holistic solution to address security across connected devices a pharmaceutical leader selected microsoft to connect and empower scientists across hundreds of locations and organizations the world s th largest brewer brings ai and iot to the craft of beermaking increasing speed to market and improving quality control one of the world is leading theme parks built smart birdhouses with edge computing to study endangered species and inspire a new generation of conservationists judson althoff evp of our worldwide commercial business shares the customer innovation stories behind our fourth quarter earnings more info coming up during the earnings call with microsoft ceo and cfo amy hood global datacenter regions the most of any cloud provider and we re not even counting the one at the bottom of the ocean business highlights more personal computing windows oem pro revenue windows commercial products and cloud services revenue gaming revenue surface revenue search advertising revenue business highlights intelligent cloud server products and cloud services revenue azure revenue growth enterprise services revenue business highlights productivity amp business processes office commercial revenue office consumer revenue linkedin revenue dynamics revenue fy q revenue by segment productivity amp business processes billion intelligent cloud billion more personal computing billion that caps off our full fiscal year with billion in revenue double digit revenue growth across all segments billion in commercial cloud revenue gross margin expanding to gaming st billion revenue year linkedin gt billion in revenue msft q earnings revenue billion gross margin yoy net income billion eps 
7156,2018-07-18,with azureiot organizations are unlocking the potential of a smart tech enabled workplace msinspire on stage at msinspire today we shared how and enable firstline workers to complete tasks more efficiently and safely if you want to serve the world you have got to represent the world msinspire you have the ability to use our platform to make a difference msinspire on the msinspire stage shows how he uses and more to connect the apps and devices in his daily routine our solution areas fuel customer success in this new era of the intelligent cloud and intelligent edge msinspire uses to keep employees connected allowing them to focus on what they do well help their customers dive no matter where they are msinspire the opportunity for everyone is to take and use it for cultural transformation msinspire devices are all lighting up experiences that are in service of these people their activities and their relationships with other people msinspire we re powering s tiny smart homes to learn about the secret lives of songbirds called purple martins msinspire kroger is using ai to make their store shelves come to life msinspire steward health care built a model using azureml that predicts patient volume with accuracy saving million a year msinspire our collective objective is to democratize ai in every industry msinspire our goal is not just celebrating our ai milestones but to see these breakthroughs make their way into the world msinspire our partnership will help continue to transform its business empower its associates worldwide and make shopping faster and easier for millions of customers around the world msinspire with project natick we are going beyond land based data centers to even sea based ones msinspire we have global data center regions available in countries across continents connected by enough fiber to stretch to the moon and back times over msinspire this era of the intelligent cloud and the intelligent edge has three defining characteristics msinspire our mission is not just a set of words it is the core guiding north star msinspire privacy is a human right msinspire tech spend today is about of the global gdp and is expected to double by msinspire what binds us together is not our success but the success that our customers achieve msinspire happening now microsoft ceo takes the stage at msinspire in minutes microsoft ceo will kick off day of msinspire watch here the livestream is also available on captioned version day of msinspire is starting in minutes tune in to the livestream here 
7182,2018-07-17,the msinspire day corenote is also available on here 
7183,2018-07-16,we are partnering with to further accelerate digital innovation in retail and empower their associates minecraft is taking kids and their imaginations into literary worlds helping them fall in love with the classics shares how ready set be inspired our first day of msinspire in las vegas is off to a great start we are living our mission to help empower everyone in every corner of the world msinspire just this year we announced ai for accessibility a million grant which supports projects that empower people with disabilities msinspire we are already seeing ai have a strong impact around the world msinspire the focus of our tech for social impact initiative is to serve the world is nonprofits like msinspire technology is one tool we can use to address the world is problems msinspire we support and the hourofcode which reaches million students around the world our program is in over u s schools this year and will be in over schools next year we are building a movement for computer science education msinspire there is a need as a company and an industry to take steps to close the digital divide msinspire an example is xiaocle with local investments in countries we are creating new products and services to create opportunity like never before msinspire digital transformation is creating new opportunities for every customer business government and nonprofit msinspire at msinspire shares our ethical principles to guide engineers and important conversations related to ai computers should remain accountable to people and the people who design these systems to be accountable to the public and community at large msinspire ultimately the question is not only what computers can do it is what computers should do msinspire we will stand up and fight for the rights of people to have their privacy protected at msinspire describes the principles we are willing to fight to defend privacy is a fundamental human right msinspire we are not just calling for new laws we are taking action msinspire we recognize that we have the first responsibility to keep the world safe msinspire we need to earn the world is trust every day msinspire microsoft has a mission that is all about serving the world discusses three important conversations we are leading at msinspire microsoft is not just a company we are part of a community msinspire microsoft president now takes the stage at msinspire watch the livestream here together we are going to seize our opportunities for good and we are going to empower everyone to achieve more msinspire as part of the mspartner ecosystem is a strong example of how our collaboration can positively impact human lives msinspire is beer fingerprinting project is bringing more science to the craft of beer msinspire from power bi to teams to chatbots is tapping ai and iot to make beer better msinspire delivers a truly ai empowered experience that helps them sharpen their business analytics msinspire our mspartner mexia built a digital health integration platform on azure efficiently connecting their customer to the healthcare ecosystem msinspire is using to deliver a truly robust customer degree view and unified experience msinspire our mspartner talis owned and operated by black women educated over k government employees on the future of modern work msinspire worked with our partners to build the future of smart home technology msinspire futura code trained thousands of educators through minecraftedu bringing forward new ways in which to target digital natives and teach them new things at greater pace than ever before msinspire these are the six areas where we are investing our efforts aligned with how we think about technology through our lives msinspire the intelligent edge and the intelligent cloud is real it s here and it s now msinspire partners are the first and last mile in our industry strategy msinspire there has never been a better time to be a microsoft partner msinspire happening now evp of worldwide commercial business takes the stage at msinspire the msinspire livestream is also available on mixer here msinspire the largest event for partners begins in minutes tune in to the livestream here 
7226,2018-07-13,our partner event msinspire kicks off monday at am pt set a reminder for the livestream here to display the potential threats of climate change augmentedreality transforms into the site of a shipwreck in this new exhibit 
7228,2018-07-12,ahead of next week s msinspire we announced a new suite of tools and resources to help our partners innovate and grow their businesses today ceo introduced a new free version of microsoft teams designed for small businesses watch the announcement here 
7230,2018-07-11, hosted the first ever gaming tournament at the usagames which was an intense and exciting battle for glory 
7231,2018-07-09, at its heart this service is about improving food safety not about catching a mouse how is using ai to keep food rodent free 
7232,2018-07-06,volunteers at the special olympics usa games have spent the week supporting athletes and helping to build a more inclusive world thank you volunteers risewithus as the draw to a close learn more about the special olympics athletes who exemplify how the games empower people of all abilities risewithus our cto joined of topbots to discuss the opportunities ai and iot present for our future 
7235,2018-07-05, special olympics usa games 
7236,2018-07-04,we have never let cameras into the forensics lab of the microsoft cybercrime center until now 
7237,2018-07-03, together you re showing the world what is possible when we reflect the perspectives and the experiences to everyone microsoft ceo via usagames people tend to try to find an easier way out andy s not into that good luck to andy bryant in the meter race today usagames 
7239,2018-07-02,gold medal winners of the first unified gaming tournament are showing that together we can achieve more risewithus choosetoinclude things to know about the usagames athletes and coaches community volunteers volunteer shifts filled by microsoft employees teams in the xbox gaming tournament sports across days of world class competition we are here with special olympics athletes and unified partners for the first ever gaming tournament at the risewithus choosetoinclude from start to finish speakers at the usagames opening ceremony shared a message of respect and inclusion via risewithus the is using ai to tee up real time stats and create captivating digital stories it is rough but someone has to do it 
7244,2018-07-01,the opening ceremony at the is about much more than sports it is a model for a more inclusive world risewithus choosetoinclude 
7245,2018-06-29,supporting the usa games promotes inclusion beyond the playing field reports on seattle area companies building an inspiring workforce you know the feeling when your heart is full and it expands in your chest this is why thu lee is volunteering at the usagames when you see a special olympics athlete cross the finish line it is something else thomas labuzienski on the usagames shiva sharma is volunteering at the usagames to make a difference in the lives of athletes find inspiration at the usagames for jasmair bains it is about helping the athletes microsoft cto joined the podcast to talk about what is next in ai and the intelligent edge listen now we are honored to team up with special olympics in welcoming all the volunteers and athletes joining us at the usagames next week in seattle three microsoft employees share the signs of a workplace where all employees including those who are lgbtq feel supported pride 
7253,2018-06-28,in minutes leadership will join our friends from for a resops workshop and panel join the discussion with whatisresearchops or watch live on youtube 
7254,2018-06-27, is eco friendly smart shelves are transforming how we shop for groceries the future beckons in aisle 
7255,2018-06-25,travis a human rights activist is helping the next generation of leaders bring about change in their communities pride as an advocate and activist jill is using grass roots efforts in the ongoing fight for social justice pride uses music and her vocal platform to advocate for inclusion pride join microsoft s cto as he takes tech enthusiasts behind the scenes with innovators and pioneers in his new podcast subscribe now at this year is imaginecup finals ceo will chat with an athlete at the top of her game 
7260,2018-06-24,we see you seattlepride one of pride celebrations we are marching in this year microsoftlife 
7261,2018-06-22,our cmo spoke to on how his career has grown and evolved with microsoft is culture we are inspired by the microsoft women named to s most powerful female engineers of congratulations and sophia velastegui join our cto as he explores what inspired today is tech heroes to build tools that impact our daily lives listen to the podcast here 
7264,2018-06-21,join microsoft s cto as he takes tech enthusiasts behind the scenes with innovators and pioneers in his new podcast listen now on itunes from pride rock to the elephant graveyard and everywhere else the light touches wild me is using ai and cloud computing to save endangered animals it is the next step for msn from a news engine to a fully redesigned app learn more about microsoft news together with we will work to create the richest end to end solution for building operating and enhancing brains for autonomous systems as part of our expanding cloud computing investment in europe our partnership with will help us develop new solutions for the energy sector welcome to the family 
7270,2018-06-20, we will always stand for immigration policies that preserve every person s dignity and human rights full text from our ceo s email to employees microsoft is a company of immigrants in a nation of immigrants our president shares our company s stance on the u s immigration situation 
7272,2018-06-19,over herd at the watering hole wild me is using ai to track and protect endangered animals aiforearth 
7273,2018-06-15,cloud technology leads the way to predicting the course of disease and pinpointing the road to recovery at over the next few months we ll be co creating new experiences with our customers making the power of office more accessible for everyone 
7275,2018-06-14,teacher merlyne graves spent hours reading and recording for her students who struggled with reading not any more 
7276,2018-06-12, without them you d be toast reports on how the windows red team protects the world is most popular operating system and its users in just one year conducted medical missions in countries with volunteers who provided care for patients here is how they use technology to do more 
7278,2018-06-11, reports on new research showing how well hololens works as a visual prosthesis for the vision impaired 
7279,2018-06-08,real madrid s is mentoring rima from in india as she charts her own path to success microsoft is proud to support everypasscounts 
7280,2018-06-07,charlie puth marshmello and allen stone have been added to the usagames opening ceremony in seattle this july join us garth case has vision on the court and in business he is using ai to unlock new business scenarios and save employees hundreds of hours of work 
7282,2018-06-06,half the world s population lives within kilometers of the ocean that s why we re going deep with this experimental datacenter projectnatick here is what thinks of our latest family focused features including msn kids and microsoft launcher 
7284,2018-06-05,this week at computex we gave a preview of what is possible in the new computing era of the intelligent edge we are working with pioneers in marine energy to develop self sufficient underwater datacenters projectnatick scientists are using the real time room and object mapping capability of hololens to help blind people navigate complex paths via 
7287,2018-06-04,recap microsoft to aquire github we collaborated with apple and industry organizations to improve braille display implementation here is how check out how we re celebrating pride from parades to employee stories we celebrate equity and human rights for all to read more visit together we will continue to advance github as a platform loved by developers and trusted by enterprises our commitment is to be stewards of the github community which will retain its developer first ethos operate independently and remain an open platform building technology so that others can build technology is core to our mission to empower every person and every organization on the planet to achieve more microsoft has been a developer focused company from the very first product we created to the platforms and tools we offer today it s a destination for microsoft too we are currently the most active organization on github with more than two million commits or updates made to projects from the largest corporations to the smallest startups github is the destination for developers to learn share and work together to create software developers are the builders of this new era writing the world s code github is their home it has million members the era of the intelligent cloud and intelligent edge is upon us computing is becoming embedded in the world with every part of our daily life and work every aspect of our society and economy being transformed by digital technology today we announced a deal to acquire here s why that matters microsoft to acquire the world s leading software development platform 
7301,2018-06-01,in we were the first fortune company to provide same sex domestic partnership benefits we continue to push for lgbtq rights in the workplace 
7302,2018-05-31,today at our abilitysummit and discussed our commitment to accessibility and how we can expand opportunities for people with disabilities we are introducing new features that enhance how families interact with technology across microsoft devices and platforms learn more 
7304,2018-05-30, the future we will invent is a choice we make 
7305,2018-05-29, our cmo spoke with about what purpose means for today is companies real madrid s is mentoring rima from in india as she charts her own path to success everypasscounts 
7307,2018-05-26,congratulations to on their unprecedented th championship title we are proud to work with a team that pushes the boundaries of what is possible champ ns 
7308,2018-05-25, reports on how our aiforearth program helps organizations like snow leopard trust leverage ai for conservation get outside this weekend with outings a free app for ios and android that helps you find amazing places to visit the future we will invent is a choice we make our ceo spoke at vivatech about the need to develop ai with humans in mind 
7311,2018-05-24, style survivor brandon holley is using predictive technology to help people take the guesswork out of online shopping with 
7312,2018-05-23,microsoft president met with to discuss how cloud computing reduces energy usage and carbon emissions in our business 
7313,2018-05-22, joins fast company is to discuss how walking can inspire new ideas listen now we are committed to helping people control their own personal information that is why we re extending the rights at the heart of gdpr to all of our customers around the world ai is set to fundamentally reinvent how businesses run compete and thrive read more from our cvp of commercial partner programs 
